"mapper_osm_username","actual_work_date","changesets_count","total_changes"
"AUSTINE OCHIENG","2026-01-07","1","5605"
"BenMutua","2026-01-07","1","4911"
"bill njiru","2026-01-07","8","1674"
"catherinewanjira","2026-01-07","4","1843"
"DENNIS MUSAU","2026-01-07","4","2294"
"DIANA KASYULA","2026-01-07","1","0"
"Festus Kaluki","2026-01-07","3","1152"
"Jeremiah james","2026-01-07","2","1348"
"JOEL KIHURIA","2026-01-07","2","1154"
"JOOH JR","2026-01-07","1","1822"
"joyce56","2026-01-07","1","1446"
"KamauNgigi","2026-01-07","26","2886"
"kamauwaithera","2026-01-07","6","1942"
"Kelvin Kinyatta","2026-01-07","1","1910"
"Kelvin Mulela","2026-01-07","10","1078"
"liliannaliaka","2026-01-07","1","1399"
"LYNNKARANJA","2026-01-07","1","2264"
"martingitau","2026-01-07","4","3236"
"mutuku254","2026-01-07","2","1193"
"njugunamurihia","2026-01-07","3","1614"
"Oketch ochieng","2026-01-07","2","4808"
"Richardmuchina","2026-01-07","1","2108"
"ritah22","2026-01-07","1","1755"
"samuelmutie20","2026-01-07","4","1246"
"SomoDuba","2026-01-07","7","1697"
"Sophie Gesare","2026-01-07","8","1302"
"Wanjiruwaithira","2026-01-07","1","2117"
"AUSTINE OCHIENG","2026-01-08","1","3904"
"BenMutua","2026-01-08","1","4947"
"bill njiru","2026-01-08","2","1563"
"catherinewanjira","2026-01-08","2","1300"
"DENNIS MUSAU","2026-01-08","4","2454"
"Festus Kaluki","2026-01-08","3","1184"
"Jeremiah james","2026-01-08","3","1151"
"JOEL KIHURIA","2026-01-08","2","1343"
"JOOH JR","2026-01-08","2","1826"
"joyce56","2026-01-08","1","1467"
"KamauNgigi","2026-01-08","24","3174"
"kamauwaithera","2026-01-08","2","1669"
"Kelvin Kinyatta","2026-01-08","2","1359"
"Kelvin Mulela","2026-01-08","7","1331"
"liliannaliaka","2026-01-08","1","1453"
"LYNNKARANJA","2026-01-08","1","3771"
"martingitau","2026-01-08","2","2724"
"mutuku254","2026-01-08","1","1149"
"njugunamurihia","2026-01-08","2","1529"
"Oketch ochieng","2026-01-08","4","11516"
"Richardmuchina","2026-01-08","4","1492"
"ritah22","2026-01-08","1","1121"
"samuelmutie20","2026-01-08","2","1510"
"SomoDuba","2026-01-08","3","1287"
"Sophie Gesare","2026-01-08","2","1281"
"stephennjuguna","2026-01-08","9","1303"
"Wanjiruwaithira","2026-01-08","1","2414"
"bill njiru","2026-01-09","1","601"
"catherinewanjira","2026-01-09","9","1186"
"DENNIS MUSAU","2026-01-09","38","2728"
"DIANA KASYULA","2026-01-09","1","95"
"Festus Kaluki","2026-01-09","3","1086"
"Jeremiah james","2026-01-09","5","1118"
"Joekaranja","2026-01-09","4","2809"
"JOEL KIHURIA","2026-01-09","10","1158"
"JOOH JR","2026-01-09","25","1426"
"joyce56","2026-01-09","16","1246"
"KamauNgigi","2026-01-09","28","2466"
"kamauwaithera","2026-01-09","8","1394"
"Kelvin Kinyatta","2026-01-09","7","1156"
"Kelvin Mulela","2026-01-09","3","1311"
"liliannaliaka","2026-01-09","3","0"
"LYNNKARANJA","2026-01-09","2","0"
"martingitau","2026-01-09","8","2552"
"mutuku254","2026-01-09","18","1200"
"njugunamurihia","2026-01-09","15","1701"
"Oketch ochieng","2026-01-09","2","0"
"Richardmuchina","2026-01-09","14","1681"
"ritah22","2026-01-09","13","1083"
"samuelmutie20","2026-01-09","12","1367"
"SomoDuba","2026-01-09","7","1185"
"Sophie Gesare","2026-01-09","5","1269"
"stephennjuguna","2026-01-09","16","1666"
"Wanjiruwaithira","2026-01-09","7","1871"
"LYNNKARANJA","2026-01-11","1","3973"
"AUSTINE OCHIENG","2026-01-12","3","1451"
"bill njiru","2026-01-12","5","1720"
"catherinewanjira","2026-01-12","7","1235"
"DENNIS MUSAU","2026-01-12","10","3018"
"DIANA KASYULA","2026-01-12","8","1110"
"Festus Kaluki","2026-01-12","4","1258"
